state,x,y
Ladakh,-101,252
Jammu & Kashmir,-170,226
Himachal Pradesh,-98,198
Punjab,-137,170
Haryana,-117,129
Uttarakhand,-56,149
Rajasthan,-199,97
Uttar Pradesh,-70,105
Bihar,48,63
Sikkim,103,111
Arunachal Pradesh,187,120
Assam,150,86
Nagaland,210,84
Manipur,196,55
Mizoram,185,25
Tripura,130,38
Meghalaya,127,64
West Bengal,82,20
Jharkhand,29,34
Madhya Pradesh,-121,19
Gujarat,-212,24
Odisha,27,-17
Chhattisgarh,-31,-33
Maharashtra,-161,-55
Telangana,-85,-81
Andhra Pradesh,-78,-127
Tamil Nadu,-105,-217
Kerala,-123,-235
Andaman & Nicobar Islands,133,-230
Lakshadweep,-240,-214
Puducherry,-60,-196
Goa,-182,-130
Dadra & Nagar Haveli,-201,-30
Daman & Diu,-214,-12
Chandigarh,-100,176
National Capital Territory Of Delhi,-90,164
Karnataka,-150,-156
